,,,P,J,V,E,D,GM,GS,DG,
1,,Benfica,45,26,20,5,1,75,27,48,a
2,,Sporting,43,26,19,5,2,82,21,61,a
3,,Belenenses,36,26,15,6,5,58,25,33,a
4,,FC Porto,30,26,13,4,9,48,36,12,a
5,,CUF,25,26,10,5,11,36,39,-3,a
6,,Académica OAF,25,26,8,9,9,40,41,-1,a
7,,V. Guimarães,23,26,8,7,11,47,43,4,a
8,,Leixões,23,26,8,7,11,48,56,-8,a
9,,SC Covilhã,22,26,8,6,12,32,49,-17,a
10,,Lusit. Évora,21,26,6,9,11,32,55,-23,a
11,,Atlético CP,21,26,7,7,12,34,46,-12,a
12,,SC Braga,20,26,6,8,12,25,39,-14,a
13,,V. Setúbal,18,26,5,8,13,26,52,-26,a
14,,Boavista,12,26,4,4,18,27,81,-54,a